method,claim,value,verdict
WCM,"rho(rise_db, T^2)",+1.000,MONOTONE RELABELLING — adds nothing
WCM,"rho(NDVI, T^2)",-0.500,model-based canopy ordering
WCM,"rho(NDVI, rise_db)",-0.500,IDENTICAL to the model's
WCM,crops with unphysical T^2 > 1,2 of 5,misspecified
WCM,free params vs observations per crop,more than 1 vs 1,UNIDENTIFIABLE by construction
SAFY,"cotton rho, 13 Oct vs 12 Nov (30 d apart)",0.518/0.522,REPLICATES to 0.004
SAFY,"rice rho, 13 Oct vs 12 Nov",0.690/0.561,replicates
SAFY,"median rho, same-day partner",0.464,the proxy works
SAFY,"median rho, 6-day gap",0.218,degraded
SAFY,decay at 6 days (crops with real signal),-37%,≈1/3 of the signal lost in 6 days
SAFY,same-day optical inside Jun–Sep growth window,0 of 4 dates,"KILLED ON AVAILABILITY, measured"
